X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,Y
2016,841,285,0,90,50,40,25,25,15,20,10,10,0,0,70,0,65,0,0,0,10,0,0,0,85,10,0,0,20,5,10,5,0,0,0,25,40,45,10,30,10,10,15,60,0,10,10,20,0,0,30,0,0,0,0,0,0,15,0,0,0,0,0,30,220
2016,840,920,35,305,160,145,75,75,70,70,15,45,0,0,230,20,230,0,0,20,25,10,0,10,250,30,0,0,95,15,50,20,0,0,0,25,135,120,45,80,40,30,55,170,10,30,45,85,15,35,5,15,5,25,10,0,0,90,0,0,10,0,0,5,815
2016,390,540,20,205,120,85,40,50,50,50,10,20,0,0,140,35,160,0,0,10,20,0,0,10,210,25,0,0,105,25,15,30,0,0,0,0,115,95,20,70,45,30,50,120,0,10,40,55,0,30,15,20,0,0,20,0,0,45,0,0,0,5,0,15,380
2016,805,270,10,105,55,55,15,20,30,35,10,20,0,0,80,0,60,0,0,15,25,0,0,0,65,10,0,0,10,0,0,0,0,0,0,10,35,30,5,10,10,10,15,60,0,0,15,25,10,10,5,10,0,0,0,0,0,25,0,0,0,10,0,5,255
2016,806,535,15,180,95,85,45,40,40,35,20,50,10,0,120,0,80,0,0,10,85,0,0,0,160,15,0,0,45,30,20,0,0,0,0,40,75,85,20,45,25,30,40,115,5,15,30,50,10,30,15,15,0,15,15,0,0,40,0,0,0,0,0,15,440
2016,391,730,15,240,130,110,50,50,45,70,25,15,5,0,155,50,150,0,0,15,25,25,0,15,245,30,0,0,90,5,30,30,0,0,10,30,145,105,15,60,40,40,75,215,15,40,50,100,40,35,25,25,0,10,10,0,15,85,0,0,0,25,15,25,535
2016,392,460,85,160,95,65,25,45,20,45,20,20,0,0,120,15,85,0,0,25,40,0,0,0,175,25,0,0,80,0,25,25,5,5,0,0,110,70,15,55,30,30,45,75,10,10,25,45,10,20,0,15,0,15,0,0,0,30,0,0,0,10,0,0,295
2016,929,565,10,205,110,95,35,60,50,50,10,35,0,0,165,0,90,0,0,40,65,5,0,0,185,40,0,0,50,20,30,10,0,0,0,15,105,80,15,65,45,15,40,90,0,20,20,45,15,15,0,10,0,0,0,0,0,45,0,0,0,10,0,0,405
2016,807,275,0,95,50,40,20,20,20,35,0,20,0,0,60,10,40,0,0,15,35,0,0,0,85,10,0,0,20,15,5,5,0,0,0,10,45,40,15,25,15,15,10,45,0,10,15,25,5,10,0,0,0,0,0,0,0,30,0,0,0,10,0,0,235
2016,393,420,0,125,80,45,35,25,15,40,10,35,0,0,90,0,70,0,0,20,30,0,0,0,130,20,0,0,30,15,20,15,10,0,0,10,80,50,10,45,20,20,25,75,5,10,25,40,10,15,0,10,0,0,10,0,0,35,0,0,0,10,0,0,275
2016,808,510,40,140,70,70,30,30,20,30,25,15,0,0,105,5,80,0,0,15,25,10,0,0,140,20,0,0,40,5,10,5,0,0,0,30,70,70,10,40,20,20,45,75,10,5,10,30,10,20,0,5,0,0,5,0,0,40,0,0,5,5,0,0,435
2016,394,810,0,240,125,115,70,65,55,40,10,30,0,0,195,15,170,0,0,40,25,0,0,0,270,35,0,0,110,30,30,20,0,0,0,5,145,125,25,80,55,40,70,125,0,0,30,35,10,35,35,10,0,5,15,5,0,40,0,0,0,0,0,35,540
2016,889,485,0,170,90,80,35,45,40,45,10,75,0,0,65,20,120,0,0,20,20,0,0,0,140,30,0,0,25,5,50,0,0,0,0,25,80,60,15,55,25,25,10,80,10,10,20,40,20,10,0,20,0,10,0,0,0,35,0,0,0,0,0,0,370
2016,890,680,30,230,125,105,60,45,50,55,20,75,0,0,125,20,170,0,5,35,10,0,0,0,215,45,0,0,50,10,45,10,25,0,0,5,130,85,25,75,40,30,50,120,10,15,30,55,15,30,10,15,5,0,0,0,0,60,0,0,10,10,0,10,525
2016,350,730,5,160,90,70,50,35,40,35,10,70,0,0,55,35,110,0,0,5,20,5,0,10,170,45,0,0,45,0,20,5,0,0,0,45,95,75,15,65,30,25,25,115,15,20,30,65,15,20,10,15,0,10,0,0,0,45,0,0,0,20,0,10,580
2016,351,400,15,110,65,45,15,35,20,25,10,35,0,0,65,5,85,0,0,10,0,5,0,0,105,20,0,0,20,10,15,10,0,0,0,15,55,50,10,35,15,10,25,100,10,15,25,50,10,25,10,25,5,5,0,0,0,30,0,0,0,10,0,5,350
2016,895,520,35,165,80,85,30,35,20,55,20,40,0,0,95,30,105,0,0,30,15,0,0,10,140,20,0,0,30,0,25,10,0,5,0,5,55,80,15,30,15,35,40,135,10,15,35,65,25,35,0,20,10,10,5,5,10,55,0,0,0,5,0,0,430
2016,896,645,0,150,75,75,35,25,25,50,15,80,0,0,70,0,85,0,5,15,40,0,0,0,180,30,0,0,45,0,25,25,0,5,0,35,100,80,0,50,30,35,55,105,5,15,25,50,15,25,10,15,0,0,10,0,0,45,0,0,0,10,0,10,485
